isin,name,full_name,issuer_name,sources
BYM000002154,РесБел 340,РесБел 340 29.06.2027,,"corpbonds,tbank"
SU26250RMFS9,ОФЗ 26250,ОФЗ-ПД 26250 10/06/37,Минфин РФ,corpbonds
SU26249RMFS1,ОФЗ 26249,ОФЗ-ПД 26249 16/06/32,Минфин РФ,corpbonds
SU26207RMFS9,ОФЗ 26207,ОФЗ-ПД 26207 03/02/27,Минфин РФ,corpbonds
SU26212RMFS9,ОФЗ 26212,ОФЗ-ПД 26212 19/01/28,Минфин РФ,corpbonds
SU26218RMFS6,ОФЗ 26218,ОФЗ-ПД 26218 17/09/31,Минфин РФ,corpbonds
SU26219RMFS4,ОФЗ 26219,ОФЗ-ПД 26219 16/09/26,Минфин РФ,corpbonds
SU26221RMFS0,ОФЗ 26221,ОФЗ-ПД 26221 23/03/33,Минфин РФ,corpbonds
SU26224RMFS4,ОФЗ 26224,ОФЗ-ПД 26224 23/05/29,Минфин РФ,corpbonds
SU26225RMFS1,ОФЗ 26225,ОФЗ-ПД 26225 10/05/34,Минфин РФ,corpbonds
SU26226RMFS9,ОФЗ 26226,ОФЗ-ПД 26226 07/10/26,Минфин РФ,corpbonds
SU26228RMFS5,ОФЗ 26228,ОФЗ-ПД 26228 10/04/30,Минфин РФ,corpbonds
SU26229RMFS3,ОФЗ 26229,ОФЗ-ПД 26229 12/11/25,Минфин РФ,corpbonds
SU26230RMFS1,ОФЗ 26230,ОФЗ-ПД 26230 16/03/39,Минфин РФ,corpbonds
SU26231RMFS9,ОФЗ 26231,ОФЗ-ПД 26231 20/07/44,Минфин РФ,corpbonds
SU26232RMFS7,ОФЗ 26232,ОФЗ-ПД 26232 06/10/27,Минфин РФ,corpbonds
SU26233RMFS5,ОФЗ 26233,ОФЗ-ПД 26233 18/07/2035,Минфин РФ,corpbonds
SU26235RMFS0,ОФЗ 26235,ОФЗ-ПД 26235 12/03/2031,Минфин РФ,corpbonds
SU26236RMFS8,ОФЗ 26236,ОФЗ-ПД 26236 17/05/2028,Минфин РФ,corpbonds
SU26237RMFS6,ОФЗ 26237,ОФЗ-ПД 26237 14/03/2029,Минфин РФ,corpbonds
SU26238RMFS4,ОФЗ 26238,ОФЗ-ПД 26238 15/05/2041,Минфин РФ,corpbonds
SU26239RMFS2,ОФЗ 26239,ОФЗ-ПД 26239 23/07/2031,Минфин РФ,corpbonds
SU26240RMFS0,ОФЗ 26240,ОФЗ-ПД 26240 30/07/2036,Минфин РФ,corpbonds
